Date,Open,High,Low,Close,Adj Close,Volume
2017-05-08,43.590000,43.910000,43.540001,43.889999,43.889999,14284300
2017-05-09,43.889999,43.889999,43.380001,43.509998,43.509998,8694400
2017-05-10,43.480000,43.619999,43.360001,43.570000,43.570000,7597700
2017-05-11,43.490002,43.680000,43.430000,43.669998,43.669998,6860100
2017-05-12,43.639999,43.680000,43.459999,43.590000,43.590000,7275800
2017-05-15,43.459999,43.759998,43.459999,43.730000,43.730000,8493000
2017-05-16,43.869999,44.110001,43.770000,43.849998,43.849998,10454100
2017-05-17,43.849998,44.169998,43.709999,43.930000,43.930000,14538800
2017-05-18,43.869999,43.959999,43.639999,43.799999,43.799999,13832200
2017-05-19,43.849998,44.000000,43.759998,43.900002,43.900002,11796800
2017-05-22,43.889999,44.220001,43.810001,44.180000,44.180000,12857900
2017-05-23,44.250000,44.599998,44.209999,44.389999,44.389999,11996100
2017-05-24,44.509998,45.090000,44.509998,45.029999,45.029999,12738300
2017-05-25,45.000000,45.480000,44.970001,45.410000,45.410000,16704200
2017-05-26,45.349998,45.560001,45.330002,45.389999,45.389999,11341400
2017-05-30,45.160000,45.459999,45.110001,45.430000,45.430000,13093500
2017-05-31,45.430000,45.700001,45.369999,45.470001,45.470001,14148000
2017-06-01,45.450001,45.790001,45.230000,45.790001,45.790001,11049300
2017-06-02,45.830002,45.889999,45.610001,45.889999,45.889999,9923700
2017-06-05,45.779999,45.990002,45.689999,45.990002,45.990002,10015200
2017-06-06,45.900002,46.060001,45.779999,45.980000,45.980000,9836700
2017-06-07,45.500000,45.700001,45.349998,45.509998,45.509998,12661800
