Date,Open,High,Low,Close,Adj Close,Volume
19700102,1.250000,1.253472,1.218750,175.500000,1.218750,1195200
19700105,1.218750,1.222222,1.187500,171.250000,1.189236,964800
19700106,1.189236,1.211806,1.184028,174.500000,1.211806,1036800
19700107,1.211806,1.215278,1.203125,173.750000,1.206597,331200
19700108,1.206597,1.225694,1.206597,175.000000,1.215278,460800
19700109,1.222222,1.239583,1.222222,176.000000,1.222222,748800
19700112,1.222222,1.222222,1.201389,173.000000,1.201389,864000
19700113,1.204861,1.222222,1.204861,174.500000,1.211806,849600
19700114,1.211806,1.232639,1.211806,177.000000,1.229167,619200
19700115,1.229167,1.232639,1.227431,177.250000,1.230903,1209600
19700116,1.230903,1.230903,1.225694,177.000000,1.229167,734400
19700119,1.227431,1.227431,1.211806,174.750000,1.213542,1180800
19700120,1.213542,1.213542,1.192708,174.750000,1.213542,763200
19700121,1.213542,1.218750,1.210069,175.500000,1.218750,878400
19700122,1.218750,1.222222,1.211806,176.000000,1.222222,360000
19700123,1.222222,1.225694,1.213542,175.000000,1.215278,979200
19700126,1.215278,1.215278,1.208333,175.000000,1.215278,979200
19700127,1.210069,1.210069,1.201389,173.000000,1.201389,532800
19700128,1.190972,1.190972,1.135417,163.500000,1.135417,1497600
19700129,1.131944,1.131944,1.072917,160.000000,1.111111,3585600
19700130,1.097222,1.097222,1.076389,158.000000,1.097222,2808000
19700202,1.109375,1.152778,1.109375,166.000000,1.152778,1612800
19700203,1.152778,1.201389,1.145833,165.000000,1.145833,2692800
19700204,1.133681,1.133681,1.081597,157.750000,1.095486,2793600
19700205,1.095486,1.145833,1.092014,165.000000,1.145833,1886400
19700206,1.138889,1.138889,1.125000,163.000000,1.131944,705600
19700209,1.159722,1.190972,1.159722,170.250000,1.182292,1684800
19700210,1.201389,1.215278,1.201389,173.500000,1.204861,2505600
19700211,1.201389,1.201389,1.189236,172.000000,1.194444,2232000
19700212,1.194444,1.194444,1.143229,165.750000,1.151042,3369600
19700213,1.146701,1.146701,1.111111,162.000000,1.125000,1540800
19700216,1.125000,1.130208,1.122396,161.625000,1.122396,820800
19700217,1.122396,1.123264,1.090278,158.500000,1.100694,1915200
19700218,1.104167,1.112847,1.104167,159.750000,1.109375,878400
19700219,1.109375,1.109375,1.098958,158.625000,1.101563,576000
19700220,1.098958,1.098958,1.076389,155.625000,1.080729,1396800
19700224,1.080729,1.085069,1.050347,152.250000,1.057292,3744000
19700225,1.057292,1.097222,1.052083,158.000000,1.097222,2822400
19700226,1.086806,1.086806,1.064236,155.000000,1.076389,1353600
19700227,1.083333,1.111111,1.083333,159.375000,1.106771,1627200
19700302,1.106771,1.123264,1.097222,158.000000,1.097222,1051200
19700303,1.097222,1.098958,1.079861,158.250000,1.098958,1468800
19700304,1.098958,1.118056,1.098958,159.750000,1.109375,734400
19700305,1.109375,1.112847,1.104167,159.500000,1.107639,892800
19700306,1.107639,1.107639,1.088542,157.250000,1.092014,907200
19700309,1.088542,1.088542,1.079861,156.250000,1.085069,273600
19700310,1.079861,1.079861,1.066840,155.000000,1.076389,1353600
19700311,1.076389,1.090278,1.072917,156.250000,1.085069,432000
19700312,1.085938,1.093750,1.085938,156.750000,1.088542,388800
