Date,Open,High,Low,Close,Adj Close,Volume
2017-05-08,198.839996,199.149994,198.300003,198.649994,198.649994,1575900
2017-05-09,199.360001,199.360001,197.529999,197.960007,197.960007,1747800
2017-05-10,197.369995,197.589996,196.529999,196.639999,196.639999,2247700
2017-05-11,196.039993,196.940002,195.259995,196.750000,196.750000,1705000
2017-05-12,195.899994,197.119995,195.860001,196.570007,196.570007,1323100
2017-05-15,196.669998,197.740005,196.229996,197.630005,197.630005,1474500
2017-05-16,197.479996,197.940002,196.860001,197.910004,197.910004,1183600
2017-05-17,196.740005,196.740005,194.720001,194.839996,194.839996,1881800
2017-05-18,194.500000,195.820007,193.539993,195.240005,195.240005,1929000
2017-05-19,196.300003,196.300003,194.449997,195.800003,195.800003,1894700
2017-05-22,196.350006,198.669998,196.350006,198.509995,198.509995,1835900
2017-05-23,198.729996,198.970001,197.520004,197.729996,197.729996,1514200
2017-05-24,198.490005,198.529999,197.279999,197.490005,197.490005,1206400
2017-05-25,198.410004,199.610001,197.750000,199.539993,199.539993,1508000
2017-05-26,199.139999,200.690002,198.970001,200.669998,200.669998,1410600
2017-05-30,200.309998,203.029999,199.960007,202.440002,202.440002,2171100
2017-05-31,202.729996,204.470001,202.270004,204.470001,204.470001,3096800
2017-06-01,204.250000,204.899994,203.679993,204.350006,204.350006,2352700
2017-06-02,205.059998,207.389999,204.789993,206.699997,206.699997,1831900
2017-06-05,206.770004,207.330002,206.220001,206.220001,206.220001,1253100
2017-06-06,206.009995,206.660004,205.410004,205.410004,205.410004,1458800
2017-06-07,205.729996,205.869995,204.100006,205.009995,205.009995,1880900
