Date,Open,High,Low,Close,Adj Close,Volume
2017-05-08,78.500000,78.739998,77.949997,78.160004,78.160004,2608600
2017-05-09,78.160004,78.739998,78.089996,78.440002,78.440002,2570600
2017-05-10,78.279999,78.660004,78.139999,78.650002,78.650002,2396900
2017-05-11,78.199997,78.449997,77.250000,77.919998,77.919998,3780600
2017-05-12,77.699997,77.809998,77.220001,77.489998,77.489998,2865800
2017-05-15,77.480003,78.620003,77.480003,78.330002,78.330002,3327000
2017-05-16,78.599998,78.639999,77.839996,78.129997,78.129997,2457500
2017-05-17,78.129997,78.129997,76.239998,76.370003,76.370003,4441600
2017-05-18,76.269997,76.849998,75.970001,76.379997,76.379997,3545700
2017-05-19,76.550003,77.349998,76.300003,76.800003,76.800003,3283900
2017-05-22,76.949997,77.120003,76.500000,76.980003,76.980003,2800000
2017-05-23,77.019997,77.419998,76.820000,77.199997,77.199997,2239600
2017-05-24,77.459999,77.459999,76.930000,77.120003,77.120003,2091300
2017-05-25,77.489998,77.919998,77.260002,77.440002,77.440002,3185200
2017-05-26,77.169998,77.599998,77.019997,77.459999,77.459999,1858800
2017-05-30,77.239998,77.419998,76.989998,77.089996,77.089996,2073000
2017-05-31,77.089996,77.110001,75.980003,76.940002,76.940002,3117100
2017-06-01,77.230003,78.379997,76.949997,78.279999,78.279999,3553400
2017-06-02,77.769997,78.739998,77.769997,78.489998,78.489998,3534800
2017-06-05,78.750000,79.199997,78.610001,78.970001,78.970001,2738600
2017-06-06,78.459999,78.930000,78.290001,78.849998,78.849998,2878000
2017-06-07,78.910004,80.089996,78.790001,79.809998,79.809998,4284000
