Date,Open,High,Low,Close,Adj Close,Volume
2017-05-08,87.040001,87.320000,86.650002,87.099998,87.099998,8162200
2017-05-09,87.260002,87.839996,86.500000,86.750000,86.750000,10273900
2017-05-10,86.529999,87.480003,86.470001,87.430000,87.430000,8334900
2017-05-11,87.089996,87.480003,86.349998,87.160004,87.160004,10907400
2017-05-12,86.680000,87.050003,86.339996,86.919998,86.919998,8738800
2017-05-15,87.099998,87.489998,86.860001,87.339996,87.339996,8835600
2017-05-16,87.360001,88.089996,87.339996,87.610001,87.610001,9795000
2017-05-17,87.610001,87.610001,83.970001,84.269997,84.269997,24679700
2017-05-18,84.070000,84.800003,83.360001,83.959999,83.959999,23350100
2017-05-19,84.209999,85.339996,84.150002,84.779999,84.779999,13412900
2017-05-22,85.180000,85.290001,84.209999,84.699997,84.699997,11636000
2017-05-23,84.750000,86.070000,84.510002,85.760002,85.760002,11753000
2017-05-24,85.879997,85.970001,85.239998,85.709999,85.709999,9833800
2017-05-25,85.989998,86.080002,85.080002,85.349998,85.349998,12238500
2017-05-26,85.110001,85.559998,85.019997,85.360001,85.360001,8113500
2017-05-30,85.129997,85.150002,83.779999,83.900002,83.900002,12603200
2017-05-31,83.730003,83.820000,81.639999,82.150002,82.150002,28327900
2017-06-01,82.459999,83.080002,81.650002,83.059998,83.059998,17123500
2017-06-02,82.290001,82.989998,81.980003,82.639999,82.639999,14998500
2017-06-05,82.639999,83.510002,82.580002,82.790001,82.790001,9080200
2017-06-06,82.290001,83.220001,82.129997,82.959999,82.959999,12196800
2017-06-07,83.309998,84.110001,83.099998,83.910004,83.910004,13571900
